,user_id,screen_name,created_time,id_created_time,followers_count,friends_count,text,lang
96,583607592,Azza_Lea98,Mon Jul 22 06:52:39 +0000 2019,Fri May 18 06:24:47 +0000 2012,150,135,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
97,461630222,EnginesComponen,Mon Jul 22 06:52:38 +0000 2019,Thu Jan 12 00:52:24 +0000 2012,33,6,(Sponsored eBay) 4pcs Pistons &amp; Rings Set STD for 1.8T Mercedes-Benz C200 E250 SLK250 W204 M271… https://t.co/apoL7KrmmZ,en
98,777912372262412288,LightingLampsC,Mon Jul 22 06:52:38 +0000 2019,Mon Sep 19 16:48:57 +0000 2016,28,21,(Ad eBay) LED DRL Daytime Running Fog Light Lamps for BENZ 2010-2011 W164 ML280 300 320 https://t.co/PI2pz8Yg9O https://t.co/vjGNw4DSB3,en
99,457352918,MuazWazir1,Mon Jul 22 06:52:36 +0000 2019,Sat Jan 07 09:28:45 +0000 2012,351,407,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
100,3257042018,waterpapi___,Mon Jul 22 06:52:34 +0000 2019,Fri Jun 26 20:55:39 +0000 2015,170,246,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
101,994523438956998657,anisasyiqinn,Mon Jul 22 06:52:32 +0000 2019,Thu May 10 10:23:59 +0000 2018,217,110,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
104,1348508491,TeriRiri1,Mon Jul 22 06:52:15 +0000 2019,Sat Apr 13 06:12:38 +0000 2013,1339,1521,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
105,1006582880116486144,Afqmuhd1,Mon Jul 22 06:52:12 +0000 2019,Tue Jun 12 17:03:54 +0000 2018,79,132,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
107,1150916034741669888,ssupbell,Mon Jul 22 06:52:05 +0000 2019,Mon Jul 15 23:52:20 +0000 2019,10,81,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
109,1046411841084112896,yoooooongzz,Mon Jul 22 06:51:54 +0000 2019,Sun Sep 30 14:49:59 +0000 2018,88,87,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
110,1071751208170336257,AyomideGabrie17,Mon Jul 22 06:51:45 +0000 2019,Sun Dec 09 12:59:34 +0000 2018,529,554,"RT @opydoc_: Dressing good and looking dope even while you are struggling is not a ""fake life""   It is better than having a Benz online and…",en
111,303733303,S_ALRAIS,Mon Jul 22 06:51:37 +0000 2019,Mon May 23 10:25:51 +0000 2011,1004,686,"RT @esrius: This Mercedes-Benz 280 SE 3.5 Coupe (1970) is one of the sexiest cars I’ve ever laid my eyes on ($115,000) https://t.co/8wXL0Vs…",en
112,1074353752612646913,aifamimi8,Mon Jul 22 06:51:35 +0000 2019,Sun Dec 16 17:21:09 +0000 2018,320,467,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
114,393314581,aimanlokmn,Mon Jul 22 06:51:26 +0000 2019,Tue Oct 18 10:43:09 +0000 2011,97,165,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
117,1119463869078851586,SR_rokee,Mon Jul 22 06:51:21 +0000 2019,Sat Apr 20 04:52:39 +0000 2019,142,196,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
119,1144356248634241049,npokua_gh,Mon Jul 22 06:50:55 +0000 2019,Thu Jun 27 21:26:05 +0000 2019,882,879,"Some girls dierr noor. Common banku k3k3 they can't 'drive' 
BUT they want to drive Benz. They are here saying #GhanaBoysNotRomantic 
😣😣😣😣😣😣",en
121,361186654,itz_datyungval,Mon Jul 22 06:50:33 +0000 2019,Wed Aug 24 11:42:21 +0000 2011,307,389,"RT @opydoc_: Dressing good and looking dope even while you are struggling is not a ""fake life""   It is better than having a Benz online and…",en
122,25838475,InvestmentNewzs,Mon Jul 22 06:50:30 +0000 2019,Sun Mar 22 16:27:19 +0000 2009,1295,809,Mercedes-Benz Cars Invests €600 Million In East London Plant https://t.co/BsAN9zEMmq via @InvestmentNewzs,en
123,975608558,husskyyyzaatyyy,Mon Jul 22 06:50:24 +0000 2019,Wed Nov 28 07:49:39 +0000 2012,252,219,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
124,4235634853,ribenaaaa,Mon Jul 22 06:50:16 +0000 2019,Sat Nov 14 14:55:06 +0000 2015,300,141,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
125,326667751,Swit_chommy,Mon Jul 22 06:50:07 +0000 2019,Thu Jun 30 08:49:33 +0000 2011,785,680,"RT @BrianJDennis: Abuja Big Boy Summary. 

1. White kaftan
2. Business plan
3. Oud perfume
4. Mercedes benz
5. Currently pursuing a contrac…",en
126,1880038969,Syireenadeyrah,Mon Jul 22 06:49:54 +0000 2019,Wed Sep 18 16:11:31 +0000 2013,431,413,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
127,745683508518129664,remy_benz__,Mon Jul 22 06:49:44 +0000 2019,Wed Jun 22 18:22:57 +0000 2016,165,165,RT @kbvnks_: Unemployed people having a better summer than me smfh,en
128,2231107207,CynclareChung,Mon Jul 22 06:49:42 +0000 2019,Thu Dec 05 07:39:56 +0000 2013,490,202,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
129,1001484872,Keymani_dav,Mon Jul 22 06:49:35 +0000 2019,Mon Dec 10 11:35:28 +0000 2012,380,776,@VinieO What's you take on Benz type of music😰,en
130,429617092,amrieeeee,Mon Jul 22 06:49:35 +0000 2019,Tue Dec 06 05:30:16 +0000 2011,536,448,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
131,1064351669461250049,farihahmhdzr,Mon Jul 22 06:49:34 +0000 2019,Mon Nov 19 02:56:27 +0000 2018,521,216,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
132,745683508518129664,remy_benz__,Mon Jul 22 06:49:32 +0000 2019,Wed Jun 22 18:22:57 +0000 2016,165,165,"RT @allaboutniya: Fall is the best season, period.",en
134,429659114,ernichot,Mon Jul 22 06:49:24 +0000 2019,Tue Dec 06 07:00:07 +0000 2011,539,467,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
135,745683508518129664,remy_benz__,Mon Jul 22 06:49:18 +0000 2019,Wed Jun 22 18:22:57 +0000 2016,165,165,RT @_GemBoy_: Niggas said only in NY people ask “how you doing” then walk away before the answer 😂😂,en
136,2290955940,baraba_benz,Mon Jul 22 06:49:02 +0000 2019,Tue Jan 14 10:15:39 +0000 2014,91,154,"RT @Kpop_Herald: Got this cute cell phone hand grip at Sehun &amp; Chanyeol's showcase for their ""What a Life"" EP. Stay tuned in this thread fo…",en
138,1054601667637731328,ommayagurl,Mon Jul 22 06:48:51 +0000 2019,Tue Oct 23 05:13:25 +0000 2018,75,1036,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
139,1417985113,YasminnOmar,Mon Jul 22 06:48:44 +0000 2019,Fri May 10 12:20:50 +0000 2013,354,250,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
140,514023525,_ahmadzikri_,Mon Jul 22 06:48:35 +0000 2019,Sun Mar 04 06:29:36 +0000 2012,445,372,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
142,4452976152,httpfaridd,Mon Jul 22 06:48:32 +0000 2019,Fri Dec 04 12:57:20 +0000 2015,54,45,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
